hex_id,point_id,P_ij
19,50027530,0.009057452970856196
19,50027540,0.052148298311073954
19,308070,0.03251577153760002
19,212080,0.031862440246653065
19,50013962,0.014910044986605848
19,142316,0.014799117395487149
19,3106,0.05440445170530922
19,319049,0.12420508289355522
19,50015771,0.020898580283519666
19,214583,0.02519164420086448
19,155290,0.07346283399765921
19,213460,0.03180660810733122
19,5427,0.018696478071708687
19,360286,0.04178484904880052
19,312402,0.009262719736943176
19,125903,0.02665514900659732
19,321994,0.16296029281449753
19,50008881,0.10039452611710757
19,50019523,0.1322274023739427
19,1116,0.015466903259807848
19,1117,0.0072893529340794065
20,125077,0.00563263938716373
20,50012899,0.004516847057686232
20,50005687,0.004702223207513066
20,50000939,0.003494047114848999
20,50008049,0.012694512196107613
20,212144,0.017524153439909408
20,136188,0.0618501977797371
20,50017374,0.09771031785087479
20,50012911,0.14932429008838
20,144104,0.08333499697116238
20,50022857,0.20204781457279727
20,50002472,0.05292628167042323
20,50013041,0.018979758900469757
20,2890,0.05572683257839333
20,210688,0.0407243837949657
20,1075,0.0393771874215714
20,1076,0.07058188864712685
20,1077,0.02936547152036415
20,1078,0.013171323297256309
20,1098,0.008756760458094039
20,1099,0.008485186003076154
20,1106,0.006732005626582529
20,1107,0.003869044087111254
20,1132,0.00415138633311752
20,1133,0.00432044999526716
21,50011456,0.01669163307127872
21,50001101,0.060247993736158016
21,50031886,0.035557415337618345
21,50034991,0.003367353340017688
21,50022152,0.08044053079846245
21,50017267,0.05253503814664172
21,5285,0.055437467530910396
21,209978,0.2999616496244849
21,50009042,0.016310934085577253
21,307356,0.016060970744702245
21,162540,0.013228197371351204
21,206935,0.03394123081599067
21,50016484,0.037546921497490955
21,203190,0.016901691901496423
21,139531,0.030520600452108936
21,50016357,0.005245951348979913
21,161796,0.031095077498644937
21,209080,0.003485074448522594
21,1073,0.016733112656521987
21,1074,0.09540866714235689
21,1080,0.00560566806379922
21,1081,0.046284841463555056
21,1083,0.027391978923329348
22,50003520,0.9523796293273487
22,50005351,0.04762037067265131
23,50006852,0.012037282630861009
23,140184,0.03015831729834318
23,217837,0.0353866372359345
23,108722,0.10536423446599537
23,50019116,0.04794612974954922
23,50006212,0.016285560699117147
23,214718,0.019914657238542622
23,50018091,0.02381825300583968
23,317159,0.02047139259048052
23,313779,0.012533177418813643
23,311080,0.04790008978852633
23,50015883,0.11095173452518198
23,50007486,0.035182326206088396
23,308121,0.017575380135326175
23,50015564,0.005762146080672229
23,150148,0.006853797699524947
23,1024,0.028396100850617126
23,1025,0.028396100850617126
23,1026,0.09679237819445215
23,1027,0.09679237819445215
23,1028,0.022372961607030017
23,1029,0.04790008978852633
23,1030,0.055201445050362806
23,1031,0.07600742869514533
25,50003803,0.1836183878620834
25,50027531,0.47858799533824126
25,167731,0.3377936167996754
26,110453,0.12952581508955108
26,50022799,0.23180802513810767
26,321507,0.020414961853108964
26,50006291,0.26957636747759933
26,213506,0.061945925551150534
26,101476,0.06389605402275318
26,172240,0.07263595944409014
26,1137,0.07318243074345254
26,1138,0.028129994744164447
26,1139,0.048884465936021984
27,312025,0.0010909127179420412
27,312025,0.0010909127179420412
27,172245,0.001349833310653182
27,172245,0.001349833310653182
27,211507,0.020422214248641365
27,211019,0.002662641036217896
27,50011757,0.026333049270597354
27,1809,0.003694691586404725
27,306046,0.006174942574678317
27,159277,0.011539064297761276
27,50006259,0.013291430590370714
27,50017354,0.031164398135071218
27,50005049,0.010420320198246406
27,50008255,0.03927399644184237
27,50011386,0.06580334778174708
27,134871,0.14365813508532008
27,329651,0.02945356819001497
27,317079,0.018080805677898937
27,327650,0.010571828054932512
27,144910,0.008164365781919626
27,50022194,0.001122272948946516
27,169830,0.018241165961112707
27,50002078,0.0037719247443755975
27,312025,0.0010909127179420412
27,312025,0.0010909127179420412
27,50032099,0.0010799961629697533
27,172245,0.001349833310653182
27,172245,0.001349833310653182
27,206380,0.029590145959395093
27,50013942,0.004101093352365216
27,50006250,0.01659524414143248
27,50001545,0.007412947107108682
27,143503,0.018241165961112707
27,1101,0.02506308945162493
27,1102,0.022240055002001314
27,1103,0.027435609352723628
27,1104,0.00751383069869031
27,1105,0.020923963324672112
27,1108,0.008714997100641218
27,1109,0.008176568196930767
27,1110,0.002729552578407829
27,1111,0.03381058014650448
27,1112,0.058785300259345634
27,1113,0.058785300259345634
27,1114,0.14138197839773348
27,1115,0.03381143582651408
28,2122,0.02825551193648613
28,50014074,0.03719775487555246
28,50034056,0.05339054258753385
28,50037986,0.016007409410835664
28,50031787,0.005306262989319063
28,137644,0.026227465853721883
28,151739,0.018735400713862756
28,150386,0.005807464377306329
